"REF_DATE","GEO","DGUID","Type of expenditures","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1995/1996","Canada","2016A000011124","Public and private elementary and secondary education expenditures","Dollars","81","units","0","v1200358","1.1","36425267","","","","0"
"1996/1997","Canada","2016A000011124","Public and private elementary and secondary education expenditures","Dollars","81","units","0","v1200358","1.1","36804814","","","","0"
"1997/1998","Canada","2016A000011124","Public and private elementary and secondary education expenditures","Dollars","81","units","0","v1200358","1.1","37163556","","","","0"
"1998/1999","Canada","2016A000011124","Public and private elementary and secondary education expenditures","Dollars","81","units","0","v1200358","1.1","38758819","","","","0"
"1999/2000","Canada","2016A000011124","Public and private elementary and secondary education expenditures","Dollars","81","units","0","v1200358","1.1","39403757","","","","0"
"2000/2001","Canada","2016A000011124","Public and private elementary and secondary education expenditures","Dollars","81","units","0","v1200358","1.1","40285311","","","","0"
"2001/2002","Canada","2016A000011124","Public and private elementary and secondary education expenditures","Dollars","81","units","0","v1200358","1.1","42294686","","","","0"
"2002/2003","Canada","2016A000011124","Public and private elementary and secondary education expenditures","Dollars","81","units","0","v1200358","1.1","43695970","","","","0"
"2003/2004","Canada","2016A000011124","Public and private elementary and secondary education expenditures","Dollars","81","units","0","v1200358","1.1","45533847","","","","0"
"2004/2005","Canada","2016A000011124","Public and private elementary and secondary education expenditures","Dollars","81","units","0","v1200358","1.1","48430838","","","","0"
"2005/2006","Canada","2016A000011124","Public and private elementary and secondary education expenditures","Dollars","81","units","0","v1200358","1.1","50582878","","","","0"
"2006/2007","Canada","2016A000011124","Public and private elementary and secondary education expenditures","Dollars","81","units","0","v1200358","1.1","53421944","","","","0"
"2007/2008","Canada","2016A000011124","Public and private elementary and secondary education expenditures","Dollars","81","units","0","v1200358","1.1","55728261","","","","0"
