"Data Source","World Development Indicators",

"Last Updated Date","2023-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.3456938285645","66.4017911357794","66.4099191677852","66.4666631864862","66.6134092545023","66.6185597315068","66.5520821266708","66.5421364559331","66.5482426363481","66.5864452145302","66.653593687823","66.7387874634713","66.8370957582547","67.0306997204047","67.2066736133817","67.110313802299","66.9797986278674","66.8449154872834","66.4453620302037","65.3698716689865","65.6100900691601","65.5223267065154","65.5845346647758","65.4612496247618","65.4920725597181","65.3985311917444","65.3826538822572","65.1686162954533","65.0242920901103","63.7401736489581","64.0302434693293",
"Afghanistan","AFG","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.2070007324219","43.1679992675781","43.1520004272461","43.109001159668","42.9930000305176","42.9850006103516","42.984001159668","42.9710006713867","42.9770011901855","42.992000579834","43.0289993286133","43.0099983215332","43.0979995727539","43.1949996948242","43.2389984130859","43.2200012207031","43.1549987792969","43.1640014648438","43.1100006103516","43.0919990539551","43.1800003051758","43.1940002441406","43.2919998168945","43.3740005493164","42.9300003051758","42.4749984741211","42.0209999084473","42.1279983520508","42.2229995727539","36.7109985351563","",
"Africa Western and Central","AFW","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.2909371034345","63.1511417948634","63.0454159718613","62.9378959677916","62.833716981469","62.74424025789","62.6389945320835","62.53561622081","62.328823980715","62.2194661710715","62.225411745687","62.2567035933038","62.2049084748238","62.1830409040693","62.1062984812224","62.1099499792613","62.0465333643365","61.8363091044993","61.5936192696627","61.3543912674898","61.2228955713215","59.841513609062","58.6341304063471","58.4661745599443","58.4367961663133","58.8156155590999","58.789072029731","59.0145246074895","59.2406620693196","58.166936443067","58.388406812036",
"Angola","AGO","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.9359970092773","73.9499969482422","73.9160003662109","74.0120010375977","74.0599975585938","74.0879974365234","74.0879974365234","74.088996887207","74.0820007324219","74.0800018310547","74.1110000610352","74.1559982299805","74.1370010375977","74.1719970703125","74.197998046875","74.2379989624023","74.2910003662109","74.3270034790039","74.338996887207","69.9739990234375","71.6289978027344","71.0970001220703","70.5029983520508","69.9199981689453","69.9020004272461","69.8880004882813","69.9059982299805","69.8830032348633","69.8740005493164","68.5449981689453","68.5579986572266",
"Albania","ALB","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.0670013427734","45.7459983825684","48.1940002441406","50.4459991455078","53.4770011901855","53.2630004882813","52.1669998168945","49.5940017700195","48.3349990844727","49.0130004882813","48.7910003662109","48.943000793457","48.6080017089844","48.1180000305176","47.4160003662109","46.701000213623","45.6059989929199","46.2430000305176","47.4729995727539","47.4220008850098","51.8600006103516","49.3650016784668","44.101001739502","43.7779998779297","45.9599990844727","48.4729995727539","50.1520004272461","52.0060005187988","53.3919982910156","49.4169998168945","51.367000579834",
"Andorra","AND","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.9883472790391","42.0384937720199","41.9152545890298","42.0314987383303","41.5925779505137","41.8724938245605","41.8960979314222","41.6734028957732","41.9582035838014","41.5027363293909","41.1148434325927","40.5797750405536","40.7716174221887","41.3696868831284","41.5884981063819","42.1073737557663","42.5518578837003","42.6612035896459","42.9379883470229","43.3348439758056","42.7889912099579","42.6798001752752","42.8603532734407","42.5446269746114","42.4464255315215","42.5563270977271","41.8415932963653","41.6950942607751","41.8175446977286","40.3591009141535","40.5370116512297",
"United Arab Emirates","ARE","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.6449966430664","72.0220031738281","72.5790023803711","73.0169982910156","73.4440002441406","73.4700012207031","73.0100021362305","72.6050033569336","72.4240036010742","72.4690017700195","72.588996887207","72.9919967651367","73.6110000610352","74.3209991455078","74.6399993896484","74.6070022583008","74.3079986572266","74.3980026245117","74.8990020751953","75.7929992675781","76.6910018920898","77.4140014648438","78.0559997558594","78.6190032958984","79.1520004272461","79.7060012817383","79.5189971923828","80.1500015258789","80.552001953125","78.6490020751953","78.7870025634766",
"Argentina","ARG","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.6809997558594","56.826000213623","55.2529983520508","54.689998626709","49.9339981079102","51.3810005187988","53.4620018005371","55.0929985046387","53.7529983520508","52.9710006713867","50.9819984436035","48.3860015869141","51.6710014343262","53.5660018920898","54.4300003051758","55.5709991455078","55.9410018920898","55.6920013427734","55.5229988098145","55.548999786377","56.2949981689453","56.0019989013672","55.7029991149902","55.1189994812012","54.773998260498","54.2350006103516","53.898998260498","54.1049995422363","54.3569984436035","49.5999984741211","55.0849990844727",
